All,அனைத்து,module,Magento_AdminGws
None,யாரும்,module,Magento_AdminGws
Allowed Scopes,அனுமதிக்கப்பட்ட நோக்கங்கள்,module,Magento_AdminGws
You need more permissions to delete this item(s): %1.,% 1: நீங்கள் இந்த உருப்படி (களை) நீக்க மேலும் அனுமதிகள் அவசியம்.,module,Magento_AdminGws
You need more permissions to apply some of the rule updates.,நீங்கள் ஆட்சி புதுப்பிப்புகளில் சிலவற்றைக் விண்ணப்பிக்க மேலும் அனுமதிகள் அவசியம்.,module,Magento_AdminGws
Please assign this entity to a store view.,ஒதுக்கவும் இந்த நிறுவனம் ஒரு கடையில் பார்வையாகும்.,module,Magento_AdminGws
You can create orders only in an active store.,நீங்கள் மட்டும் செயலில் உள்ளவை அங்காடியில் ஆணைகள் உருவாக்க முடியும்.,module,Magento_AdminGws
Please assign this item to a store view.,ஒதுக்கவும் இந்த உருப்படி ஒரு கடையில் பார்வையாகும்.,module,Magento_AdminGws
You need more permissions to save this item.,இந்த உருப்படியை காப்பாற்ற கூடுதல் அனுமதிகள் வேண்டும்.,module,Magento_AdminGws
You need more permissions to delete this item.,நீங்கள் இதை நீக்கினால் இன்னும் அனுமதிகள் அவசியம்.,module,Magento_AdminGws
You need more permissions to view this item.,இந்த உருப்படியை மேலும் காண அனுமதிகள் அவசியம்.,module,Magento_AdminGws
Please specify at least one website or one store group.,குறைந்தது ஒரு வலைத்தளம் அல்லது ஒரு ஸ்டோரில் குழுக்களைக் குறிப்பிடுகின்றன கொள்ளவும்.,module,Magento_AdminGws
You need more permissions to set All Scopes to a Role.,நீங்கள் ஒரு பங்கு அனைத்து நோக்கங்கள் அமைக்க கூடுதல் அனுமதிகள் வேண்டும்.,module,Magento_AdminGws
Incorrect website ID: %1,தவறான இணையதளத்தை ஐடி:% 1,module,Magento_AdminGws
"You need more permissions to access website ""%1"".","நீங்கள் அணுக வலைத்தளத்தில் ""% 1"" இன்னும் அனுமதிகள் அவசியம்.",module,Magento_AdminGws
Incorrect store ID: %1,தவறான கடை ஐடி:% 1,module,Magento_AdminGws
You need more permissions to save this setting.,நீங்கள் விரும்பினால் இந்த அமைப்பை காப்பாற்ற கூடுதல் அனுமதிகள் வேண்டும்.,module,Magento_AdminGws
Role Scopes,பங்கு நோக்கங்கள்,module,Magento_AdminGws
Custom,விருப்ப,module,Magento_AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","நீங்கள் இரண்டு தற்போதைய அங்காடி பார்வையில் நோக்கம், இந்த உருப்படி காப்பாற்ற உங்களுக்கு அனுமதி இல்லை. தயவு செய்து, அனுமதி கடை மாறுக",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","மேலும் அனுமதிகள் ""% 1"" பொருட்களை நீக்க தேவைப்படும்.",module,Magento_AdminGws
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,இந்த நிறுவனம் ஒரு கடையில் காட்சிக்கு ஒதுக்கப்பட்ட விரிகுடா தேவை. நிறுவனம் வேலையை சரிசெய்து முயற்சிக்கவும்.,module,Magento_AdminGws
Orders can only be completed in an active store. Verify the store and try again.,ஆணைகள் செயல்படும் ஒரு கடையில் நிறைவு செய்ய முடியும். கடை சரிசெய்து முயற்சிக்கவும்.,module,Magento_AdminGws
This item needs to be assigned to a store view. Assign item and try again.,இந்த உருப்படி ஒரு கடையில் காட்சிக்கு ஒதுக்கப்பட்ட விரிகுடா தேவை. ஒதுக்கு பொருட்களை மீண்டும் முயற்சிக்கவும்.,module,Magento_AdminGws
More permissions are needed to save this item.,மேலும் அனுமதிகள் இந்த உருப்படியை காப்பாற்ற தேவைப்படும்.,module,Magento_AdminGws
More permissions are needed to delete this item.,மேலும் அனுமதிகள் இதை நீக்கவும் தேவை.,module,Magento_AdminGws
More permissions are needed to view this item.,மேலும் அனுமதிகள் இந்த உருப்படியை காண தேவைப்படும்.,module,Magento_AdminGws
At least one website or store group needs to be selected. Select and try again.,குறைந்தது ஒரு வலைத்தளம் அல்லது கடை குழு தேவைகளை தேர்ந்தெடுக்க வைக்கப்பட்ட. தேர்ந்தெடுத்து மீண்டும் முயற்சி.,module,Magento_AdminGws
More permissions are needed to set All Scopes to a Role.,மேலும் அனுமதிகள் அ ரோல் அனைத்து நோக்கங்கள் அமைக்க தேவைப்படும்.,module,Magento_AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""% 1"" வலைத்தளத்தில் ஐடி தவறானது. வலைத்தளத்தில் ஐடி சரிசெய்து முயற்சிக்கவும்.",module,Magento_AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""% 1"" கடை ஐடி தவறானது. கடை ஐடி சரிசெய்து முயற்சிக்கவும்.",module,Magento_AdminGws
More permissions are needed to save this setting.,மேலும் அனுமதிகள் இந்த அமைப்பை காப்பாற்ற தேவைப்படும்.,module,Magento_AdminGws
Read Details,படிக்க விவரங்கள்,module,Magento_AdminNotification
Mark as Read,மார்க் இக்களின் ரீட்,module,Magento_AdminNotification
Are you sure?,யூ சர்ரே ஏய்?,module,Magento_AdminNotification
Remove,அகற்று,module,Magento_AdminNotification
Messages Inbox,செய்திகள் இன்பாக்ஸ்,module,Magento_AdminNotification
You have %1 new system messages,% 1 புதிய அமைப்பு செய்திகளை வேண்டும்,module,Magento_AdminNotification
You have %1 new system message,% 1 புதிய முறைமை செய்திகளை வேண்டும்,module,Magento_AdminNotification
Incoming Message,உள்வரும் செய்தி,module,Magento_AdminNotification
close,நெருக்கமான,module,Magento_AdminNotification
Notifications,Notifaictions,module,Magento_AdminNotification
The message has been marked as Read.,செய்தி ரீட் போன்றோர்களால் குறிக்கப்பட்டுள்ளது.,module,Magento_AdminNotification
